Gender,Digital_Design_CSC211 ,Assembly_language_CSC221,Micoprocessor_CSC311,Computer_architecture_CSC311
M,68,78,80,75
M,68,57,65,71
F,60,40,55,70
M,39,60,50,60
M,70,70,72,56
M,35,74,80,85
M,58,64,67,63
M,60,72,60,75
M,70,66,63,35
M,72,66,79,77
M,72,68,79,77
M,56,70,80,77
M,93,68,73,60
M,53,71,56,70
M,90,55,74,80
F,75,74,57,66
F,47,78,68,79
F,34,67,64,68
M,60,68,78,73
M,64,54,58,75
F,60,71,40,76
F,45,68,58,62
F,58,68,68,56
F,34,67,65,86
M,34,67,78,73
M,50,70,68,62
M,46,65,70,68
M,60,52,50,45
F,40,38,48,46
M,88,80,82,77
F,69,65,70,68
F,55,70,60,42
F,29,50,56,55
F,50,52,80,66
F,54,48,52,60
F,58,69,66,45
F,52,50,45,66
F,39,50,70,72
F,46,54,78,68
F,58,68,50,62
F,64,60,63,58
F,52,57,55,40
M,50,60,65,68
F,40,70,58,76
M,42,60,71,60
F,70,57,69,68
F,78,87,68,70
F,84,72,56,66
M,80,70,44,67
M,10,86,77,70
M,55,40,42,46
M,25,45,79,55
M,45,60,71,76
M,30,70,72,56
M,15,68,21,4
F,18,78,78,54
F,2,45,45,5
F,5,90,5,70
M,15,67,10,65
M,55,68,84,45
F,70,56,68,67
F,92,55,29,67
F,86,78,35,80
M,76,78,85,80
M,45,56,85,7
M,50,69,51,83
M,70,70,42,27
M,69,45,90,42
M,68,87,18,52
F,65,67,79,34
F,66,45,79,36
F,68,86,69,67
M,60,65,7,68
M,56,78,25,33
F,45,78,35,33
F,30,56,26,67
F,35,35,87,73
M,25,45,85,67
M,35,68.5,64,40
M,20,68,43,80
M,60,68,46,51
M,68,45,41,34
M,78,70,56,54
F,87,65,28,67
F,85,68,56,36
F,83,78,42,46
M,82,56,48,52
M,65,70,63,60
F,35,65,43,35
F,68,80,63,72
F,20,25,79,68
M,58,60,16,71
M,35,60,29,44
M,65,30,71,79
M,90,45,25,62
M,95,50,65,39
M,48,70,35,59
F,50,58,22,78
F,25,53,17,34
F,40,55,86,77
M,60,96,11,63
M,68,88,51,80
F,65,70,44,54
F,78,75,37,44
F,70,75,74,82
M,45,70,34,85
M,57,31,77,68
M,42,45,61,42
M,30,68,31,62
M,50,54,80,43
M,43,53,9,78
F,47,64,89,84
F,68,50,50,62
F,37,53,63,35
M,41,50,80,79
M,67,32,81,31
F,60,70,80,46
F,64,40,44,33
F,49,35,13,47
M,62,51,80,69
M,45,61,56,32
M,39,50,26,64
M,60,45,23,67
M,48,57,82,74
M,46,52,82,63
F,69,70,40,40
F,37,35,80,65
F,42,38,73,68
M,33,54,68,41
M,48,43,61,57
F,46,62,61,53
F,25,55,56,78
F,31,37,70,63
M,62,40,15,76
M,29,64,68,32
M,57,26,86,44
M,64,30,26,78
M,43,52,58,75
M,65,45,54,71
F,63,47,74,44
F,36,54,55,66
F,55,65,51,34
M,26,48,10,81
M,46,58,19,56
F,62,60,77,43
F,66,37,67,49
F,66,69,83,38
M,50,59,17,42
M,37,59,10,66
F,36,26,23,66
F,66,45,47,58
F,55,35,6,79
M,33,57,14,76
F,37,46,46,75
M,63,47,63,36
F,49,38,59,30
M,54,31,6,74
F,42,49,7,66
M,52,26,5,84
F,42,42,37,65
M,26,26,17,83
M,48,57,11,31
M,29,45,27,77
F,59,59,8,32
M,70,59,31,52
F,26,55,89,50
F,66,40,67,79
M,33,64,66,83
M,28,56,66,69
M,68,68,36,32
F,55,40,68,52
M,37,47,85,37
M,53,34,61,70
M,36,32,69,69
M,68,67,29,74
M,26,33,39,36
F,31,60,79,67
F,28,62,6,68
F,59,32,39,67
M,45,30,20,32
F,36,37,46,56
M,44,35,44,33
M,25,31,65,45
F,63,45,90,37
F,49,30,60,55
M,35,62,8,74
M,28,64,68,64
F,30,46,57,55
M,64,28,10,79
F,52,32,35,68
M,38,47,65,82
F,49,29,64,60
M,26,43,37,80
M,46,26,90,38
F,50,70,34,78
F,54,69,77,46
F,37,32,24,84
M,31,38,47,67
M,61,35,75,63
F,61,49,9,74
F,48,33,43,49
M,61,46,28,31
M,62,48,39,60
M,29,57,26,55
F,46,61,34,58
M,30,51,8,40
F,42,48,30,34
M,68,27,34,35
F,58,43,66,46
M,55,46,23,47
F,51,54,52,67
F,26,33,65,34
F,56,58,50,56
F,34,64,29,48
M,46,57,9,75
M,32,64,47,34
M,61,31,36,32
F,27,26,80,85
M,50,38,69,79
F,32,57,16,30
M,63,42,26,77
F,44,50,64,77
F,40,50,34,44
M,34,60,58,36
M,57,46,8,67
F,25,47,80,69
F,57,39,43,71
F,27,65,22,81
F,38,29,57,53
M,59,69,20,73
M,31,61,43,60
M,50,70,43,77
F,27,38,29,32
M,36,51,45,39
F,44,39,60,80
M,31,58,57,72
F,33,56,53,58
M,50,32,56,52
M,57,65,14,66
M,36,68,32,57
M,59,26,69,65
M,31,45,59,77
M,68,63,68,55
M,29,27,33,48
M,46,30,42,68
M,29,59,76,76
M,50,42,90,75
M,58,38,20,56
M,26,66,61,82
